iter	Passed	Remaining
0	1	106
1	1	83
2	2	72
3	2	64
4	3	65
5	4	66
6	5	66
7	5	65
8	6	63
9	7	64
10	7	63
11	8	65
12	9	64
13	10	63
14	10	61
15	12	63
16	12	61
17	13	60
18	14	61
19	15	60
20	15	59
21	16	57
22	17	57
23	18	57
24	18	56
25	20	58
26	21	58
27	22	57
28	23	56
29	24	56
30	25	56
31	26	55
32	26	54
33	27	53
34	28	52
35	28	51
36	29	50
37	29	48
38	30	47
39	31	46
40	31	45
41	32	44
42	36	47
43	36	46
44	37	45
45	37	44
46	38	43
47	39	42
48	39	41
49	40	40
50	40	39
51	41	38
52	41	37
53	42	36
54	42	35
55	43	34
56	43	33
57	44	32
58	44	31
59	45	30
60	46	29
61	46	28
62	47	27
63	47	26
64	48	26
65	48	25
66	49	24
67	50	23
68	50	22
69	51	21
70	51	21
71	52	20
72	52	19
73	53	18
74	53	17
75	54	17
76	54	16
77	55	15
78	56	14
79	56	14
80	57	13
81	57	12
82	58	11
83	58	11
84	59	10
85	59	9
86	60	9
87	61	8
88	61	7
89	62	6
90	62	6
91	63	5
92	64	4
93	64	4
94	65	3
95	65	2
96	66	2
97	66	1
98	67	0
99	67	0
